Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",138.550000,-125.550000,0.000000,top
"C2","4.7uF","C_0603_1608Metric",115.850000,-107.750000,180.000000,top
"C3","100nF","C_0603_1608Metric",180.750000,-104.700000,90.000000,top
"C4","100nF","C_0603_1608Metric",168.900000,-111.900000,180.000000,top
"C5","100nF","C_0603_1608Metric",168.900000,-113.600000,180.000000,top
"C6","100nF","C_0603_1608Metric",177.850000,-116.950000,-90.000000,top
"C7","4.7uF","C_0603_1608Metric",182.250000,-104.700000,90.000000,top
"C8","4.7uF","C_0603_1608Metric",179.350000,-116.950000,-90.000000,top
"C9","100nF","C_0603_1608Metric",176.750000,-103.900000,90.000000,top
"C10","100nF","C_0603_1608Metric",175.750000,-116.950000,-90.000000,top
"C11","4.7uF","C_0603_1608Metric",178.250000,-103.900000,90.000000,top
"C12","4.7uF","C_0603_1608Metric",174.250000,-116.950000,-90.000000,top
"C13","2.7nF","C_0603_1608Metric",192.000000,-119.250000,90.000000,top
"C14","1u","C_0603_1608Metric",196.050000,-114.850000,90.000000,top
"C15","2.7nF","C_0603_1608Metric",190.500000,-119.250000,90.000000,top
"C16","100nF","C_0603_1608Metric",164.450000,-119.400000,180.000000,top
"C17","100nF","C_0603_1608Metric",163.500000,-126.000000,-90.000000,top
"C18","100nF","C_0603_1608Metric",182.550000,-126.000000,90.000000,top
"C19","100nF","C_0603_1608Metric",192.150000,-107.600000,90.000000,top
"C20","2.2uF","C_0603_1608Metric",186.500000,-114.300000,90.000000,top
"C21","1uF","C_0603_1608Metric",196.050000,-117.850000,-90.000000,top
"C22","4.7uF","C_0603_1608Metric",186.500000,-117.300000,-90.000000,top
"C23","10uF","C_0805_2012Metric",158.150000,-120.650000,0.000000,top
"C24","10uF","C_0805_2012Metric",162.550000,-114.050000,90.000000,top
"C25","10uF","C_0805_2012Metric",155.100000,-130.650000,0.000000,top
"C26","10uF","C_0805_2012Metric",155.100000,-124.750000,0.000000,top
"C27","100nF","C_0603_1608Metric",127.100000,-120.350000,90.000000,top
"C30","1nF","C_0603_1608Metric",143.100000,-104.200000,0.000000,top
"C33","100nF","C_0603_1608Metric",150.550000,-97.300000,0.000000,top
"C34","10uF","C_0805_2012Metric",147.300000,-97.050000,180.000000,top
"C35","100nF","C_0603_1608Metric",143.200000,-111.950000,180.000000,top
"C37","4.7uF","C_0603_1608Metric",196.050000,-111.850000,90.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",196.500000,-104.500000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",196.500000,-127.000000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",109.500000,-112.000000,0.000000,top
"FID4","Fiducial","Fiducial_1mm_Mask2mm",109.500000,-133.500000,0.000000,top
"J1","Bus","PinHeader_2x12_P2.54mm_Vertical",159.960000,-133.000000,90.000000,top
"J2","Prog","PinHeader_1x08_P2.54mm_Vertical",149.500000,-108.450000,0.000000,top
"J3","SD_Card","SD_TE_2041021",116.500000,-93.500000,180.000000,top
"J4","Composite","RCJ-014",138.500000,-83.000000,0.000000,top
"J5","VGA","ICD15S13E4GV00LF",182.500000,-80.000000,180.000000,top
"J9","S-video","MD-40S",155.500000,-80.000000,0.000000,top
"JP1","Flash enable","PinHeader_1x02_P2.54mm_Vertical",134.000000,-126.000000,180.000000,top
"L1","NRS4018T2R2MDGJ","L_Bourns-SRN4018",159.000000,-113.500000,0.000000,top
"R1","10k","R_0603_1608Metric",169.750000,-106.550000,0.000000,top
"R2","10k","R_0603_1608Metric",169.750000,-105.050000,0.000000,top
"R3","10k","R_0603_1608Metric",145.750000,-123.250000,90.000000,top
"R4","47k","R_0603_1608Metric",124.650000,-108.500000,-90.000000,top
"R5","47k","R_0603_1608Metric",115.850000,-109.250000,180.000000,top
"R6","47k","R_0603_1608Metric",110.700000,-109.450000,0.000000,top
"R7","47k","R_0603_1608Metric",126.150000,-108.500000,90.000000,top
"R8","47k","R_0603_1608Metric",110.700000,-107.750000,180.000000,top
"R9","47k","R_0603_1608Metric",120.650000,-107.750000,0.000000,top
"R13","560","R_0603_1608Metric",193.500000,-119.250000,90.000000,top
"R14","47k","R_0603_1608Metric",136.500000,-116.900000,90.000000,top
"R15","560","R_0603_1608Metric",189.000000,-119.250000,90.000000,top
"R16","47k","R_0603_1608Metric",145.500000,-114.200000,-90.000000,top
"R17","1","R_0603_1608Metric",155.650000,-120.100000,90.000000,top
"R18","1","R_0603_1608Metric",155.100000,-132.400000,0.000000,top
"R19","47k","R_0603_1608Metric",160.850000,-117.300000,-90.000000,top
"R20","47k","R_0603_1608Metric",160.850000,-120.300000,-90.000000,top
"R21","536","R_0603_1608Metric",169.000000,-98.500000,-90.000000,top
"R22","75","R_0603_1608Metric",143.100000,-102.700000,0.000000,top
"R23","470","R_0603_1608Metric",152.850000,-102.300000,-90.000000,top
"R24","1070","R_0603_1608Metric",170.500000,-98.500000,-90.000000,top
"R25","2150","R_0603_1608Metric",172.000000,-98.500000,-90.000000,top
"R26","75","R_0603_1608Metric",142.350000,-99.300000,-90.000000,top
"R27","4300","R_0603_1608Metric",173.500000,-98.500000,-90.000000,top
"R28","1k","R_0603_1608Metric",154.400000,-102.300000,90.000000,top
"R29","0","R_0603_1608Metric",150.550000,-95.750000,180.000000,top
"R30","75","R_0603_1608Metric",143.850000,-99.300000,-90.000000,top
"R31","536","R_0603_1608Metric",175.000000,-98.500000,-90.000000,top
"R32","470","R_0603_1608Metric",152.850000,-99.287500,90.000000,top
"R33","1070","R_0603_1608Metric",176.500000,-98.500000,-90.000000,top
"R34","820","R_0603_1608Metric",187.000000,-98.500000,-90.000000,top
"R35","2150","R_0603_1608Metric",178.000000,-98.500000,-90.000000,top
"R36","1k","R_0603_1608Metric",154.400000,-97.000000,90.000000,top
"R37","820","R_0603_1608Metric",188.500000,-98.500000,-90.000000,top
"R38","4300","R_0603_1608Metric",179.500000,-98.500000,-90.000000,top
"R39","536","R_0603_1608Metric",181.000000,-98.500000,-90.000000,top
"R40","1070","R_0603_1608Metric",182.500000,-98.500000,-90.000000,top
"R41","2150","R_0603_1608Metric",184.000000,-98.500000,-90.000000,top
"R42","4300","R_0603_1608Metric",185.500000,-98.500000,-90.000000,top
"RN1","CAY16-1001F4LF","R_Array_Convex_4x0603",163.300000,-104.850000,180.000000,top
"RN2","CAY16-1001F4LF","R_Array_Convex_4x0603",160.150000,-104.850000,180.000000,top
"RN3","CAY16-1001F4LF","R_Array_Convex_4x0603",156.750000,-104.850000,180.000000,top
"RN4","CAY16-1001F4LF","R_Array_Convex_4x0603",163.300000,-101.100000,180.000000,top
"RN5","CAY16-1001F4LF","R_Array_Convex_4x0603",160.150000,-101.100000,180.000000,top
"RN6","CAY16-1001F4LF","R_Array_Convex_4x0603",156.750000,-101.100000,180.000000,top
"RN7","CAY16-1001F4LF","R_Array_Convex_4x0603",163.300000,-97.350000,180.000000,top
"RN8","CAY16-1001F4LF","R_Array_Convex_4x0603",160.150000,-97.350000,180.000000,top
"RN9","CAY16-1001F4LF","R_Array_Convex_4x0603",156.750000,-97.350000,180.000000,top
"U1","ICE40UP5K-SG48ITR50","QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm",175.650000,-110.600000,-90.000000,top
"U2","74AHC00PW","TSSOP-14_4.4x5mm_P0.65mm",141.000000,-121.940000,180.000000,top
"U3","SN74CBTD3861PWR","TSSOP-24_4.4x7.8mm_P0.65mm",177.500000,-123.850000,-90.000000,top
"U4","74CBTLV3126PW,118","TSSOP-14_4.4x5mm_P0.65mm",123.500000,-118.000000,-90.000000,top
"U5","74LVC4245APW","TSSOP-24_4.4x7.8mm_P0.65mm",168.500000,-123.850000,90.000000,top
"U6","WM8524CGEDT","TSSOP-16_4.4x5mm_P0.65mm",191.250000,-114.500000,180.000000,top
"U7","W25Q16JVSNIQ","SOIC-8_3.9x4.9mm_P1.27mm",141.000000,-115.450000,0.000000,top
"U9","AP3417CKTR-G1","SOT-23-5",158.250000,-117.750000,-90.000000,top
"U10","MIC5504-3.3YM5","SOT-23-5",155.100000,-127.700000,90.000000,top
"U11","THS7314D","SOIC-8_3.9x4.9mm_P1.27mm",148.350000,-100.800000,180.000000,top
"X1","SG5032CAN_25.000000M-TJGA3","Oscillator_SMD_SeikoEpson_SG8002LB-4Pin_5.0x3.2mm",188.500000,-106.980000,180.000000,top
